Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.39    0.00 1391337928/1391337928     leap_vdbe_execute_program [2]
[27]     0.9    0.39    0.00 1391337928         continue_outcome [27]
-----------------------------------------------
                0.00    0.00   13114/1386026746     eval_unaryop [54]
                0.39    0.00 1386013632/1386026746     eval_binop [12]
[28]     0.9    0.39    0.00 1386026746         leap_value_is_null [28]
-----------------------------------------------
                0.00    0.00   13114/697149508     eval_unaryop [54]
                0.25    0.00 697136394/697149508     compare_affinity [21]
[29]     0.6    0.25    0.00 697149508         coerce_numeric [29]
-----------------------------------------------
                0.08    0.00 348568197/1045704591     binop_cmp [19]
                0.15    0.00 697136394/1045704591     compare_affinity [21]
[30]     0.5    0.23    0.00 1045704591         scalar_quote [30]
-----------------------------------------------
                0.19    0.00 693006816/693006816     leap_opcode_control_execute [24]
[31]     0.4    0.19    0.00 693006816         leap_value_is_truthy [31]
-----------------------------------------------
                0.12    0.00 698156500/698156500     leap_opcode_rows_execute [4]
[32]     0.3    0.12    0.00 698156500         leap_vdbe_state_cursor_mut [32]
-----------------------------------------------
                0.11    0.00 693019930/693019930     leap_vdbe_execute_program [2]
[33]     0.3    0.11    0.00 693019930         continue_outcome [33]
-----------------------------------------------
